aupair	Our au pair helps the children learn French.	我们家的互惠生帮助孩子们学习法语。
deflate	Open the valve to deflate the tyre.	打开阀门给轮胎放气。
mackintosh	He wore a mackintosh in the rain.	他在雨中穿着防水雨衣。
magnate	The shipping magnate bought another port.	这位航运巨头又买下了一个港口。
relinguish	She refused to relinquish control.	她拒绝放弃控制权。
amphibian	A frog is an amphibian.	青蛙是一种两栖动物。
conservatory	She studies piano at the conservatory.	她在音乐学院学习钢琴。
groa	He let out a groan of pain.	他痛苦地呻吟了一声。
chiche	The ending felt like a cliché.	这个结尾让人觉得落入了俗套。
undercharge	Did the shop undercharge us for these shoes?	商店是不是少收了这双鞋的钱？
crusade	She led a crusade against corruption.	她领导了一场反腐运动。
reorient	We must reorient the antenna.	我们必须调整天线的方向。
carousel	We collected our bags from the carousel.	我们从行李传送带上取了包。
cameral	The historian studied cameral administration.	这位历史学家研究了财政管理。
familiarise	Please familiarise yourself with the controls.	请熟悉这些控制装置。
disempower	These restrictions disempower local communities.	这些限制削弱了当地社区的权力。
revegetate	Volunteers will revegetate the damaged hillside.	志愿者将恢复受损山坡的植被。
Kung Fu	He practises kung fu every morning.	他每天早上练功夫。
fertilise	We fertilise the soil before planting.	我们在种植前给土壤施肥。
deviance	The study examines social deviance.	这项研究考察社会越轨行为。
synchronise	We need to synchronise our clocks.	我们需要把钟的时间对准。
emboss	They emboss the logo on leather.	他们把标志压印在皮革上。
tick off	Tick off each item as you pack.	打包时把每个物品逐项勾掉。
stint	She completed a short stint overseas.	她结束了一段短期的海外工作。
tillable	Only part of the land is tillable.	这片土地只有一部分适宜耕种。
epitomise	These gardens epitomise quiet elegance.	这些花园充分体现了宁静的优雅。
unquote	He called it, quote, perfect, unquote.	他称其为，引用原话，完美，引用结束。
freefone	Please call our freefone number.	请拨打我们的免费电话号码。
accreditation	The college received official accreditation.	这所学院获得了官方认证。
pronounceable	Choose a short, pronounceable name.	选一个简短、容易发音的名字。
elaboration	This proposal needs further elaboration.	这项提议需要进一步阐述。
minimise	We must minimise food waste.	我们必须尽量减少食物浪费。
sluttish	The old novel describes his sluttish housekeeping.	那部旧小说描写了他邋遢的家务料理方式。
assistantship	She received a graduate assistantship.	她获得了研究生助教资助。
bookrest	Place the cookbook on the bookrest.	把食谱放在阅书架上。
compulsively	He checks his phone compulsively.	他忍不住反复查看手机。
alienation	Moving frequently increased her sense of alienation.	频繁搬家加深了她的疏离感。
arousal	The experiment measured physiological arousal.	实验测量了生理唤醒水平。
extrusion	The pipes are formed by extrusion.	这些管子通过挤压成型。
aggravation	The delay caused considerable aggravation.	这次延误使人十分恼火。
bereave	War can bereave families of their children.	战争会使家庭失去孩子。
bump into	I often bump into him here.	我经常在这里碰见他。
tangibly	The repairs tangibly improved our living conditions.	这些修缮切实改善了我们的居住条件。
a calculated crime	Investigators called it a calculated crime.	调查人员称这是一起有预谋的犯罪。
insularity	Travel challenged his insularity.	旅行冲击了他狭隘封闭的观念。
elicitation	The interview focused on the elicitation of memories.	访谈着重于唤起回忆。
laterality	The study examined laterality in hand use.	这项研究考察了用手的侧向偏好。
overgraze	Too many sheep can overgraze the pasture.	羊太多会使牧场被过度啃食。
foreland	A lighthouse stood on the foreland.	岬角上矗立着一座灯塔。
jeopardise	Rushing could jeopardise the whole project.	仓促行事可能危及整个项目。
aggressiveness	His aggressiveness made cooperation difficult.	他的好斗使合作变得困难。
biometrics	The system uses biometrics to verify identity.	该系统使用生物识别技术核验身份。
decouple	We can decouple these two processes.	我们可以将这两个过程分离。
socialise	They socialise after work.	他们下班后聚会社交。
